Run,Level,Steps,SolutionObjects,Mirrors,Refractors,RuleTransitions,Decoys,TotalObjects,GridWidth,GridHeight,Cl,Ch,Ci,MID,Solved,SolvePhase,SearchNodes,SearchTimeMs,TotalPlacements,InPlaceRotations,Relocations,ExecutionTimeMs,SweepIterations,SweepRelocations,SolveTimeMs,GenerationTimeMs
16,9,4,3,2,1,1,2,5,16,16,0.0195,0.5,0.3333,0.2264,1,Sweep-S1,527,28.35,4,4,0,20729.06,4,0,21058.07,10.13
17,10,5,4,2,2,3,2,6,16,16,0.0234,1,0.5,0.4117,0,Sweep,32933,1797.18,5,5,0,31601.78,90,0,33703.98,10.13
18,10,6,4,4,0,0,2,6,16,16,0.0234,0,0,0.0117,0,Sweep,262302,8001.28,0,0,0,9062.56,93,0,17367.25,10.38
19,10,7,5,2,3,3,2,7,16,16,0.0273,0.75,0.6,0.3587,0,Sweep,33389,1792.6,5,5,0,31658.45,98,0,33756.13,10.07
20,10,8,7,3,4,5,2,9,16,16,0.0352,0.8333,0.5714,0.3819,0,Sweep,1334,56.88,7,7,0,53053.62,156,0,53410.89,10.74
21,10,9,4,2,2,2,2,6,16,16,0.0234,0.6667,0.5,0.3117,0,Sweep,4882,262.39,5,5,0,41617.49,200,0,42187.77,11.9
22,10,3,2,2,0,0,3,5,16,16,0.0195,0,0,0.0098,1,Sweep-S1,21,15.75,2,2,0,10326.23,12,0,10643.43,10.01
23,11,4,3,3,0,0,3,6,16,16,0.0234,0,0,0.0117,1,Trivial,0,0,0,0,0,0,0,0,304.2,9.46
24,12,5,4,3,1,1,3,7,16,16,0.0273,0.3333,0.25,0.1637,0,Sweep,108,7.69,3,3,0,25631.96,105,0,25946.78,10.19
25,12,6,4,2,2,3,3,7,16,16,0.0273,1,0.5,0.4137,0,Sweep,811,17461.79,1,0,1,12942.14,106,1,30709.96,9.95
26,12,7,4,3,1,2,3,7,16,16,0.0273,0.6667,0.25,0.2637,1,1B,1,8.85,1,0,1,7286.62,0,0,7902.22,10.19
27,13,8,6,5,1,1,3,9,16,16,0.0352,0.2,0.1667,0.1109,1,1B,1,8.3,1,0,1,8239.87,0,0,8853.64,10.07
28,14,9,8,4,4,5,3,11,16,16,0.043,0.7143,0.5,0.3358,0,Sweep,863,12922.42,0,0,0,23905.76,150,0,37133.73,10.38
29,14,3,2,2,0,0,4,6,16,16,0.0234,0,0,0.0117,1,Sweep-S1,19,8.06,1,1,0,5732.85,18,0,6044.92,9.77
30,15,4,3,2,1,1,4,7,16,16,0.0273,0.5,0.3333,0.2303,0,Sweep,782,11230.22,1,0,1,8240.54,85,1,19776.98,9.89
31,15,5,4,1,3,1,4,8,16,16,0.0313,0.3333,0.75,0.2656,1,Sweep-S3,69791,3787.72,4,4,0,28920.96,77,0,33009.7,10.38
32,16,6,4,3,1,1,4,8,16,16,0.0313,0.3333,0.25,0.1656,1,Sweep-S1,5,9.09,1,0,1,9009.09,4,0,9321.78,9.95
33,17,7,4,4,0,0,4,8,16,16,0.0313,0,0,0.0156,1,1B,1,9.22,1,0,1,6769.29,0,0,7387.88,10.07
34,18,8,6,3,3,4,4,10,16,16,0.0391,0.8,0.5,0.3595,0,Sweep,38090,2187.13,6,6,0,45344.12,129,0,47832.03,10.44
35,18,9,8,1,7,2,4,12,16,16,0.0469,0.2857,0.875,0.2842,0,Sweep,246,318.18,3,0,3,40112.98,172,0,40734.93,10.62
36,18,3,2,2,0,0,0,2,16,16,0.0078,0,0,0.0039,1,Trivial,0,0,0,0,0,0,0,0,304.93,11.29
37,19,4,3,2,1,1,0,3,16,16,0.0117,0.5,0.3333,0.2225,0,Sweep,754,5724.92,1,0,1,4618.41,49,1,10650.39,10.13
38,19,5,4,2,2,2,0,4,16,16,0.0156,0.6667,0.5,0.3078,1,1B,1,8.48,1,0,1,7658.81,0,0,8272.83,10.13
39,20,6,5,5,0,0,0,5,16,16,0.0195,0,0,0.0098,0,Sweep,681,27.47,3,3,0,25774.11,96,0,26108.83,10.31
40,20,7,6,4,2,3,0,6,16,16,0.0234,0.6,0.3333,0.2584,0,Sweep,37083,2030.58,4,4,0,32013.55,130,0,34349.18,10.62
41,20,8,6,2,4,4,0,6,16,16,0.0234,0.8,0.6667,0.3851,0,Sweep,70907,3698.43,5,5,0,32946.9,113,0,36948.91,9.46
42,20,9,4,3,1,1,0,4,16,16,0.0156,0.3333,0.25,0.1578,1,Sweep-S1,18,8.54,1,0,1,10074.28,17,0,10390.08,9.28
43,21,3,2,2,0,0,1,3,16,16,0.0117,0,0,0.0059,0,Sweep,758,8443.97,1,0,1,5177.06,53,1,13924.74,9.77
44,21,4,3,3,0,0,1,4,16,16,0.0156,0,0,0.0078,1,Sweep-S1,29,16.78,3,3,0,17208.13,20,0,17526.61,9.83
45,22,5,4,1,3,2,1,5,16,16,0.0195,0.6667,0.75,0.3598,1,1A,1115,139.77,4,4,0,19910.64,0,0,20655.76,10.13
46,23,6,4,2,2,3,1,5,16,16,0.0195,1,0.5,0.4098,0,Sweep,267,17.09,2,2,0,16598.75,73,0,16923.46,10.5
47,23,7,5,2,3,3,1,6,16,16,0.0234,0.75,0.6,0.3567,0,Sweep,95,15.38,3,3,0,21276.98,84,0,21593.38,9.64
48,23,8,7,5,2,1,1,8,16,16,0.0313,0.1667,0.2857,0.1228,1,Sweep-S1,205400,8000.85,0,0,0,593.38,6,0,8900.15,10.01
49,24,9,7,4,3,3,1,8,16,16,0.0313,0.5,0.4286,0.2513,0,Sweep,429400,8002.93,0,0,0,11489.38,117,0,19796.88,10.01
50,24,3,2,2,0,0,2,4,16,16,0.0156,0,0,0.0078,1,Sweep-S1,21,15.38,2,2,0,10332.03,12,0,10648.32,12.08
